"c","zc","fc","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
-0.93214,0.003368,-0.67893,7337,7337,1.4625,0.87497,0
-0.84231,0.0030439,-0.61355,7338,7338,1.4625,0.88748,0
-1.0743,0.0038268,-0.7783,7339,7339,1.475,0.84996,0
-0.98979,0.0035264,-0.71715,7340,7340,1.475,0.86246,0
-1.0432,0.0036703,-0.75227,7341,7341,1.4875,0.84995,0
-0.96108,0.0033822,-0.69316,7342,7342,1.4875,0.86246,0
-1.1382,0.0041637,-0.83274,7343,7343,1.45,0.84997,0
-1.0486,0.0038368,-0.7673,7344,7344,1.45,0.86248,0
-1.1063,0.0039952,-0.80552,7345,7345,1.4625,0.84997,0
-1.0192,0.0036816,-0.74222,7346,7346,1.4625,0.86247,0
-1.0141,0.0038156,-0.74982,7347,7347,1.425,0.87499,0
-0.91639,0.0034484,-0.67762,7348,7348,1.425,0.88749,0
-0.98659,0.0036628,-0.72584,7349,7349,1.4375,0.87498,0
-0.8915,0.0033103,-0.65595,7350,7350,1.4375,0.88749,0
-1.0706,0.004145,-0.79996,7351,7351,1.4,0.875,0
-0.96738,0.003746,-0.72292,7352,7352,1.4,0.8875,0
-1.0424,0.0039803,-0.77489,7353,7353,1.4125,0.875,0
-0.94189,0.0035972,-0.70027,7354,7354,1.4125,0.8875,0
-1.2036,0.0045264,-0.88965,7355,7355,1.425,0.84999,0
-1.1089,0.004171,-0.81973,7356,7356,1.425,0.86249,0
-1.1709,0.004345,-0.86119,7357,7357,1.4375,0.84998,0
-1.0788,0.0040039,-0.79351,7358,7358,1.4375,0.86248,0
-1.2707,0.0049172,-0.94915,7359,7359,1.4,0.85,0
-1.1706,0.0045311,-0.87455,7360,7360,1.4,0.8625,0
-1.2371,0.0047218,-0.9194,7361,7361,1.4125,0.84999,0
-1.1398,0.0043511,-0.84714,7362,7362,1.4125,0.86249,0
-1.237,0.0044038,-0.89586,7363,7363,1.475,0.82495,0
-1.1557,0.0041153,-0.83708,7364,7364,1.475,0.83746,0
-1.2011,0.0042236,-0.86588,7365,7365,1.4875,0.82495,0
-1.1221,0.0039469,-0.80908,7366,7366,1.4875,0.83745,0
-1.3106,0.0047915,-0.95852,7367,7367,1.45,0.82497,0
-1.2244,0.0044776,-0.89563,7368,7368,1.45,0.83747,0
-1.2738,0.0045976,-0.92719,7369,7369,1.4625,0.82496,0
-1.19,0.0042964,-0.86635,7370,7370,1.4625,0.83747,0
